,Transaction Date,Transaction ID,Item,Quantity,Price Per Unit,Total Spent
68,2023-01-04,TXN_4712887,Tea,5.0,1.5,7.5
64,2023-01-04,TXN_1268811,Salad,1.0,5.0,5.0
70,2023-01-04,TXN_7894558,Coffee,2.0,2.0,4.0
71,2023-01-04,TXN_7630912,Juice,2.0,3.0,6.0
72,2023-01-04,TXN_9415451,Juice,3.0,3.0,9.0
74,2023-01-04,TXN_9983530,Smoothie,3.0,4.0,12.0
62,2023-01-04,TXN_1082012,Smoothie,5.0,4.0,20.0
76,2023-01-04,TXN_4719069,Juice,2.0,3.0,6.0
69,2023-01-04,TXN_9825905,Coffee,1.0,2.0,2.0
118,2023-01-05,TXN_6380550,Coffee,5.0,2.0,10.0
114,2023-01-05,TXN_5524352,Smoothie,1.0,4.0,4.0
115,2023-01-05,TXN_4283693,Salad,2.0,5.0,10.0
116,2023-01-05,TXN_8852585,Smoothie,4.0,4.0,16.0
117,2023-01-05,TXN_4980036,Juice,2.0,3.0,6.0
119,2023-01-05,TXN_9809696,Smoothie,1.0,4.0,4.0
9547,2023-01-05,TXN_7943008,Coffee,1.0,2.0,2.0
122,2023-01-05,TXN_7766134,Tea,1.0,1.5,1.5
123,2023-01-05,TXN_9496018,Tea,5.0,1.5,7.5
124,2023-01-05,TXN_8608811,Juice,5.0,3.0,15.0
125,2023-01-05,TXN_1767872,Salad,2.0,5.0,10.0
126,2023-01-05,TXN_9151321,Smoothie,4.0,4.0,16.0
121,2023-01-05,TXN_1324968,Cookie,3.0,1.0,3.0
112,2023-01-05,TXN_1665056,Salad,5.0,5.0,25.0
113,2023-01-05,TXN_2340643,Salad,5.0,5.0,25.0
110,2023-01-05,TXN_9814511,Juice,1.0,3.0,3.0
89,2023-01-05,TXN_1727281,Juice,4.0,3.0,12.0
90,2023-01-05,TXN_6455325,Juice,4.0,3.0,12.0
91,2023-01-05,TXN_5662517,Tea,2.0,1.5,3.0
111,2023-01-05,TXN_4982382,Salad,1.0,5.0,5.0
93,2023-01-05,TXN_8742689,Tea,5.0,1.5,7.5
94,2023-01-05,TXN_5164540,Tea,2.0,1.5,3.0
95,2023-01-05,TXN_3603434,Coffee,5.0,2.0,10.0
96,2023-01-05,TXN_5862289,Juice,4.0,3.0,12.0
97,2023-01-05,TXN_2372348,Juice,2.0,3.0,6.0
92,2023-01-05,TXN_3910230,Smoothie,5.0,4.0,20.0
100,2023-01-05,TXN_2044375,Salad,1.0,5.0,5.0
101,2023-01-05,TXN_9417438,Salad,1.0,5.0,5.0
102,2023-01-05,TXN_3313534,Cookie,2.0,1.0,2.0
103,2023-01-05,TXN_1840566,Coffee,4.0,2.0,8.0
104,2023-01-05,TXN_1927704,Salad,2.0,5.0,10.0
106,2023-01-05,TXN_1622123,Cookie,2.0,1.0,2.0
107,2023-01-05,TXN_1701500,Smoothie,1.0,4.0,4.0
108,2023-01-05,TXN_6515226,Juice,1.0,3.0,3.0
109,2023-01-05,TXN_5587224,Salad,2.0,5.0,10.0
98,2023-01-05,TXN_9587884,Tea,2.0,1.5,3.0
148,2023-01-06,TXN_1852224,Tea,4.0,1.5,6.0
149,2023-01-06,TXN_6571385,Tea,4.0,1.5,6.0
150,2023-01-06,TXN_6467414,Tea,3.0,1.5,4.5
151,2023-01-06,TXN_8632098,Salad,2.0,5.0,10.0
152,2023-01-06,TXN_5438111,Smoothie,3.0,4.0,12.0
9979,2023-01-06,TXN_7915173,Cookie,3.0,1.0,3.0
155,2023-01-06,TXN_2301001,Smoothie,1.0,4.0,4.0
156,2023-01-06,TXN_8305586,Coffee,4.0,2.0,8.0
157,2023-01-06,TXN_3228823,Tea,5.0,1.5,7.5
147,2023-01-06,TXN_4664329,Tea,2.0,1.5,3.0
153,2023-01-06,TXN_8276063,Coffee,1.0,2.0,2.0
146,2023-01-06,TXN_3392953,Coffee,1.0,2.0,2.0
154,2023-01-06,TXN_3112013,Smoothie,5.0,4.0,20.0
144,2023-01-06,TXN_1671480,Cookie,5.0,1.0,5.0
134,2023-01-06,TXN_1180969,Cookie,1.0,1.0,1.0
133,2023-01-06,TXN_1419790,Smoothie,3.0,4.0,12.0
132,2023-01-06,TXN_8083377,Tea,4.0,1.5,6.0
131,2023-01-06,TXN_6000890,Coffee,3.0,2.0,6.0
130,2023-01-06,TXN_6670607,Juice,5.0,3.0,15.0
129,2023-01-06,TXN_3277379,Salad,2.0,5.0,10.0
128,2023-01-06,TXN_1091243,Smoothie,2.0,4.0,8.0
135,2023-01-06,TXN_3121483,Salad,2.0,5.0,10.0
145,2023-01-06,TXN_2029497,Smoothie,2.0,4.0,8.0
137,2023-01-06,TXN_2531878,Salad,3.0,5.0,15.0
136,2023-01-06,TXN_1960599,Juice,4.0,3.0,12.0
127,2023-01-06,TXN_3666951,Juice,2.0,3.0,6.0
138,2023-01-06,TXN_1185003,Juice,5.0,3.0,15.0
139,2023-01-06,TXN_9663990,Juice,1.0,3.0,3.0
140,2023-01-06,TXN_7770253,Coffee,5.0,2.0,10.0
141,2023-01-06,TXN_1779679,Coffee,5.0,2.0,10.0
142,2023-01-06,TXN_6410244,Tea,4.0,1.5,6.0
143,2023-01-06,TXN_2204457,Coffee,4.0,2.0,8.0
9793,2023-01-07,TXN_1804132,Smoothie,3.0,4.0,12.0
181,2023-01-07,TXN_1034067,Smoothie,3.0,4.0,12.0
180,2023-01-07,TXN_1072232,Smoothie,1.0,4.0,4.0
178,2023-01-07,TXN_8164119,Tea,3.0,1.5,4.5
177,2023-01-07,TXN_6121301,Smoothie,5.0,4.0,20.0
176,2023-01-07,TXN_2631423,Cookie,3.0,1.0,3.0
175,2023-01-07,TXN_8934637,Smoothie,1.0,4.0,4.0
179,2023-01-07,TXN_6872268,Juice,2.0,3.0,6.0
173,2023-01-07,TXN_4177717,Cookie,1.0,1.0,1.0
158,2023-01-07,TXN_5622313,Salad,2.0,5.0,10.0
161,2023-01-07,TXN_3046567,Salad,2.0,5.0,10.0
162,2023-01-07,TXN_6040824,Smoothie,1.0,4.0,4.0
163,2023-01-07,TXN_8066306,Juice,5.0,3.0,15.0
174,2023-01-07,TXN_8661276,Cookie,1.0,1.0,1.0
165,2023-01-07,TXN_2696664,Cookie,5.0,1.0,5.0
166,2023-01-07,TXN_6643951,Smoothie,1.0,4.0,4.0
164,2023-01-07,TXN_4064326,Cookie,2.0,1.0,2.0
168,2023-01-07,TXN_8285752,Cookie,4.0,1.0,4.0
169,2023-01-07,TXN_5476485,Juice,2.0,3.0,6.0
170,2023-01-07,TXN_5279972,Smoothie,4.0,4.0,16.0
171,2023-01-07,TXN_1598214,Juice,1.0,3.0,3.0
172,2023-01-07,TXN_1193551,Cookie,1.0,1.0,1.0
167,2023-01-07,TXN_9901097,Coffee,1.0,2.0,2.0
9888,2023-01-08,TXN_7988991,Tea,4.0,1.5,6.0
202,2023-01-08,TXN_3313000,Coffee,5.0,2.0,10.0
9585,2023-01-08,TXN_6916047,Coffee,2.0,2.0,4.0
207,2023-01-08,TXN_3494191,Smoothie,2.0,4.0,8.0
206,2023-01-08,TXN_8384229,Tea,4.0,1.5,6.0
205,2023-01-08,TXN_7932830,Juice,2.0,3.0,6.0
204,2023-01-08,TXN_6857799,Cookie,4.0,1.0,4.0
203,2023-01-08,TXN_5991995,Juice,1.0,3.0,3.0
201,2023-01-08,TXN_2832660,Smoothie,2.0,4.0,8.0
191,2023-01-08,TXN_9203396,Coffee,5.0,2.0,10.0
199,2023-01-08,TXN_4615235,Juice,4.0,3.0,12.0
182,2023-01-08,TXN_8150967,Smoothie,3.0,4.0,12.0
183,2023-01-08,TXN_4702345,Salad,4.0,5.0,20.0
184,2023-01-08,TXN_7851634,Smoothie,4.0,4.0,16.0
185,2023-01-08,TXN_8482647,Smoothie,5.0,4.0,20.0
200,2023-01-08,TXN_4328228,Smoothie,5.0,4.0,20.0
187,2023-01-08,TXN_6975750,Juice,5.0,3.0,15.0
188,2023-01-08,TXN_2680626,Juice,3.0,3.0,9.0
186,2023-01-08,TXN_9425610,Smoothie,3.0,4.0,12.0
190,2023-01-08,TXN_3703482,Juice,4.0,3.0,12.0
192,2023-01-08,TXN_6342161,Salad,5.0,5.0,25.0
193,2023-01-08,TXN_6857943,Juice,5.0,3.0,15.0
194,2023-01-08,TXN_1887555,Juice,2.0,3.0,6.0
196,2023-01-08,TXN_4583009,Salad,5.0,5.0,25.0
197,2023-01-08,TXN_7516790,Juice,2.0,3.0,6.0
198,2023-01-08,TXN_3803732,Salad,4.0,5.0,20.0
189,2023-01-08,TXN_6144244,Juice,3.0,3.0,9.0
9804,2023-01-09,TXN_1193930,Coffee,1.0,2.0,2.0
9977,2023-01-09,TXN_3674876,Smoothie,5.0,4.0,20.0
232,2023-01-09,TXN_4551806,Tea,1.0,1.5,1.5
231,2023-01-09,TXN_4848431,Salad,5.0,5.0,25.0
230,2023-01-09,TXN_1075183,Tea,2.0,1.5,3.0
229,2023-01-09,TXN_2123573,Coffee,5.0,2.0,10.0
228,2023-01-09,TXN_9239779,Salad,1.0,5.0,5.0
226,2023-01-09,TXN_3487896,Coffee,5.0,2.0,10.0
225,2023-01-09,TXN_9072517,Smoothie,2.0,4.0,8.0
208,2023-01-09,TXN_9844453,Tea,2.0,1.5,3.0
209,2023-01-09,TXN_8425819,Smoothie,1.0,4.0,4.0
210,2023-01-09,TXN_3827851,Coffee,1.0,2.0,2.0
212,2023-01-09,TXN_6277500,Coffee,4.0,2.0,8.0
213,2023-01-09,TXN_5005999,Salad,4.0,5.0,20.0
227,2023-01-09,TXN_4612269,Salad,5.0,5.0,25.0
215,2023-01-09,TXN_9627891,Coffee,2.0,2.0,4.0
216,2023-01-09,TXN_2504703,Smoothie,5.0,4.0,20.0
214,2023-01-09,TXN_3744974,Juice,1.0,3.0,3.0
218,2023-01-09,TXN_1993675,Cookie,3.0,1.0,3.0
219,2023-01-09,TXN_4829492,Juice,2.0,3.0,6.0
220,2023-01-09,TXN_3700419,Cookie,4.0,1.0,4.0
221,2023-01-09,TXN_5531712,Tea,2.0,1.5,3.0
222,2023-01-09,TXN_4639319,Coffee,5.0,2.0,10.0
223,2023-01-09,TXN_7994903,Smoothie,4.0,4.0,16.0
224,2023-01-09,TXN_3355537,Tea,3.0,1.5,4.5
217,2023-01-09,TXN_4449992,Cookie,3.0,1.0,3.0
257,2023-01-10,TXN_6650263,Tea,2.0,1.5,3.0
260,2023-01-10,TXN_5660949,Cookie,3.0,1.0,3.0
259,2023-01-10,TXN_2588566,Salad,3.0,5.0,15.0
258,2023-01-10,TXN_7507071,Smoothie,2.0,4.0,8.0
256,2023-01-10,TXN_8708666,Juice,4.0,3.0,12.0
255,2023-01-10,TXN_7855761,Cookie,1.0,1.0,1.0
254,2023-01-10,TXN_6380636,Coffee,5.0,2.0,10.0
236,2023-01-10,TXN_5398922,Salad,1.0,5.0,5.0
237,2023-01-10,TXN_4679593,Juice,1.0,3.0,3.0
238,2023-01-10,TXN_5754317,Coffee,2.0,2.0,4.0
239,2023-01-10,TXN_9489176,Juice,5.0,3.0,15.0
240,2023-01-10,TXN_7763212,Smoothie,1.0,4.0,4.0
233,2023-01-10,TXN_8554646,Coffee,2.0,2.0,4.0
235,2023-01-10,TXN_9710430,Smoothie,3.0,4.0,12.0
242,2023-01-10,TXN_9493077,Juice,4.0,3.0,12.0
244,2023-01-10,TXN_2494138,Cookie,3.0,1.0,3.0
245,2023-01-10,TXN_3270584,Juice,3.0,3.0,9.0
248,2023-01-10,TXN_9976598,Juice,4.0,3.0,12.0
249,2023-01-10,TXN_3043982,Smoothie,5.0,4.0,20.0
250,2023-01-10,TXN_9320353,Salad,5.0,5.0,25.0
252,2023-01-10,TXN_4520062,Tea,2.0,1.5,3.0
253,2023-01-10,TXN_8059034,Coffee,1.0,2.0,2.0
243,2023-01-10,TXN_3106348,Salad,4.0,5.0,20.0
234,2023-01-10,TXN_7755372,Juice,5.0,3.0,15.0
283,2023-01-11,TXN_9703722,Smoothie,5.0,4.0,20.0
9757,2023-01-11,TXN_6327139,Smoothie,4.0,4.0,16.0
9728,2023-01-11,TXN_4009914,Smoothie,2.0,4.0,8.0
282,2023-01-11,TXN_2818867,Salad,3.0,5.0,15.0
281,2023-01-11,TXN_1324930,Smoothie,5.0,4.0,20.0
270,2023-01-11,TXN_9728414,Tea,1.0,1.5,1.5
279,2023-01-11,TXN_5940531,Tea,1.0,1.5,1.5
261,2023-01-11,TXN_8732269,Juice,2.0,3.0,6.0
262,2023-01-11,TXN_9520855,Juice,4.0,3.0,12.0
263,2023-01-11,TXN_5448157,Cookie,3.0,1.0,3.0
265,2023-01-11,TXN_6021363,Smoothie,2.0,4.0,8.0
280,2023-01-11,TXN_1072984,Tea,4.0,1.5,6.0
268,2023-01-11,TXN_4430772,Coffee,5.0,2.0,10.0
269,2023-01-11,TXN_6496506,Juice,1.0,3.0,3.0
267,2023-01-11,TXN_2873573,Coffee,3.0,2.0,6.0
272,2023-01-11,TXN_7991782,Juice,2.0,3.0,6.0
271,2023-01-11,TXN_2773987,Smoothie,5.0,4.0,20.0
277,2023-01-11,TXN_7995960,Juice,1.0,3.0,3.0
276,2023-01-11,TXN_6337312,Salad,1.0,5.0,5.0
275,2023-01-11,TXN_9089898,Salad,3.0,5.0,15.0
278,2023-01-11,TXN_3869958,Juice,1.0,3.0,3.0
274,2023-01-11,TXN_5222176,Cookie,4.0,1.0,4.0
273,2023-01-11,TXN_7218914,Salad,1.0,5.0,5.0
9750,2023-01-12,TXN_7948933,Smoothie,3.0,4.0,12.0
313,2023-01-12,TXN_8710758,Smoothie,3.0,4.0,12.0
319,2023-01-12,TXN_1940330,Tea,4.0,1.5,6.0
318,2023-01-12,TXN_6018020,Cookie,2.0,1.0,2.0
317,2023-01-12,TXN_4268746,Juice,5.0,3.0,15.0
316,2023-01-12,TXN_4060215,Salad,3.0,5.0,15.0
314,2023-01-12,TXN_4877933,Juice,5.0,3.0,15.0
9690,2023-01-12,TXN_7494217,Cookie,1.0,1.0,1.0
311,2023-01-12,TXN_3699636,Salad,3.0,5.0,15.0
9999,2023-01-12,TXN_9594133,Juice,5.0,3.0,15.0
309,2023-01-12,TXN_2503128,Juice,1.0,3.0,3.0
300,2023-01-12,TXN_2338617,Juice,2.0,3.0,6.0
299,2023-01-12,TXN_5257169,Juice,4.0,3.0,12.0
298,2023-01-12,TXN_2207332,Coffee,1.0,2.0,2.0
297,2023-01-12,TXN_6159539,Juice,1.0,3.0,3.0
310,2023-01-12,TXN_5337074,Cookie,3.0,1.0,3.0
296,2023-01-12,TXN_4530804,Coffee,4.0,2.0,8.0
295,2023-01-12,TXN_9159212,Smoothie,3.0,4.0,12.0
293,2023-01-12,TXN_6189334,Smoothie,1.0,4.0,4.0
292,2023-01-12,TXN_3643361,Tea,1.0,1.5,1.5
291,2023-01-12,TXN_6751134,Smoothie,3.0,4.0,12.0
290,2023-01-12,TXN_3938271,Salad,3.0,5.0,15.0
289,2023-01-12,TXN_8111101,Smoothie,5.0,4.0,20.0
288,2023-01-12,TXN_5200292,Salad,4.0,5.0,20.0
287,2023-01-12,TXN_4266787,Juice,4.0,3.0,12.0
285,2023-01-12,TXN_6874059,Salad,4.0,5.0,20.0
301,2023-01-12,TXN_7585599,Juice,1.0,3.0,3.0
284,2023-01-12,TXN_8652632,Tea,1.0,1.5,1.5
302,2023-01-12,TXN_1733916,Smoothie,4.0,4.0,16.0
308,2023-01-12,TXN_8219210,Smoothie,5.0,4.0,20.0
304,2023-01-12,TXN_1510406,Salad,3.0,5.0,15.0
305,2023-01-12,TXN_4634772,Juice,3.0,3.0,9.0
306,2023-01-12,TXN_4371760,Smoothie,2.0,4.0,8.0
307,2023-01-12,TXN_6926855,Smoothie,3.0,4.0,12.0
303,2023-01-12,TXN_1967032,Tea,1.0,1.5,1.5
333,2023-01-13,TXN_1063342,Smoothie,5.0,4.0,20.0
323,2023-01-13,TXN_9031518,Smoothie,5.0,4.0,20.0
324,2023-01-13,TXN_7735237,Juice,2.0,3.0,6.0
326,2023-01-13,TXN_9298882,Smoothie,3.0,4.0,12.0
327,2023-01-13,TXN_6868763,Juice,3.0,3.0,9.0
328,2023-01-13,TXN_6004967,Salad,4.0,5.0,20.0
331,2023-01-13,TXN_3947116,Smoothie,1.0,4.0,4.0
329,2023-01-13,TXN_2598728,Juice,2.0,3.0,6.0
330,2023-01-13,TXN_7907366,Coffee,4.0,2.0,8.0
332,2023-01-13,TXN_2580487,Juice,1.0,3.0,3.0
325,2023-01-13,TXN_9392028,Salad,5.0,5.0,25.0
9738,2023-01-13,TXN_8722854,Juice,1.0,3.0,3.0
322,2023-01-13,TXN_7426086,Coffee,4.0,2.0,8.0
320,2023-01-13,TXN_2237115,Coffee,1.0,2.0,2.0
334,2023-01-13,TXN_8789116,Salad,5.0,5.0,25.0
335,2023-01-13,TXN_3474333,Juice,3.0,3.0,9.0
336,2023-01-13,TXN_6228847,Smoothie,3.0,4.0,12.0
337,2023-01-13,TXN_1434857,Juice,5.0,3.0,15.0
339,2023-01-13,TXN_4808700,Cookie,4.0,1.0,4.0
338,2023-01-13,TXN_6359777,Smoothie,5.0,4.0,20.0
340,2023-01-13,TXN_6622954,Smoothie,2.0,4.0,8.0
341,2023-01-13,TXN_5530273,Juice,3.0,3.0,9.0
342,2023-01-13,TXN_2086557,Smoothie,2.0,4.0,8.0
343,2023-01-13,TXN_4425164,Juice,4.0,3.0,12.0
372,2023-01-14,TXN_4430006,Juice,5.0,3.0,15.0
375,2023-01-14,TXN_2635532,Smoothie,4.0,4.0,16.0
9876,2023-01-14,TXN_1309653,Salad,2.0,5.0,10.0
374,2023-01-14,TXN_2980632,Cookie,3.0,1.0,3.0
373,2023-01-14,TXN_7089173,Juice,1.0,3.0,3.0
9627,2023-01-14,TXN_6298532,Smoothie,4.0,4.0,16.0
371,2023-01-14,TXN_2601689,Salad,4.0,5.0,20.0
365,2023-01-14,TXN_5124080,Cookie,1.0,1.0,1.0
369,2023-01-14,TXN_7218134,Juice,5.0,3.0,15.0
344,2023-01-14,TXN_2806243,Salad,4.0,5.0,20.0
345,2023-01-14,TXN_3956393,Cookie,4.0,1.0,4.0
346,2023-01-14,TXN_3801966,Smoothie,4.0,4.0,16.0
347,2023-01-14,TXN_6020552,Smoothie,2.0,4.0,8.0
348,2023-01-14,TXN_3931747,Cookie,4.0,1.0,4.0
349,2023-01-14,TXN_8191202,Cookie,2.0,1.0,2.0
350,2023-01-14,TXN_8867827,Tea,1.0,1.5,1.5
351,2023-01-14,TXN_3342106,Smoothie,1.0,4.0,4.0
352,2023-01-14,TXN_3928766,Juice,5.0,3.0,15.0
353,2023-01-14,TXN_1926794,Smoothie,1.0,4.0,4.0
354,2023-01-14,TXN_6522252,Tea,2.0,1.5,3.0
370,2023-01-14,TXN_8826983,Smoothie,5.0,4.0,20.0
355,2023-01-14,TXN_5588102,Cookie,4.0,1.0,4.0
357,2023-01-14,TXN_9992148,Tea,3.0,1.5,4.5
358,2023-01-14,TXN_7945375,Juice,3.0,3.0,9.0
359,2023-01-14,TXN_1018470,Juice,3.0,3.0,9.0
360,2023-01-14,TXN_2035283,Smoothie,3.0,4.0,12.0
361,2023-01-14,TXN_3743107,Coffee,4.0,2.0,8.0
362,2023-01-14,TXN_9389300,Salad,3.0,5.0,15.0
363,2023-01-14,TXN_1329167,Tea,5.0,1.5,7.5
364,2023-01-14,TXN_6766492,Salad,1.0,5.0,5.0
366,2023-01-14,TXN_3391446,Tea,1.0,1.5,1.5
367,2023-01-14,TXN_4568452,Cookie,3.0,1.0,3.0
368,2023-01-14,TXN_3793672,Cookie,5.0,1.0,5.0
356,2023-01-14,TXN_4541981,Smoothie,4.0,4.0,16.0
400,2023-01-15,TXN_5332538,Coffee,3.0,2.0,6.0
378,2023-01-15,TXN_2317041,Tea,3.0,1.5,4.5
398,2023-01-15,TXN_2917349,Tea,4.0,1.5,6.0
376,2023-01-15,TXN_4942692,Coffee,2.0,2.0,4.0
379,2023-01-15,TXN_6537449,Salad,2.0,5.0,10.0
381,2023-01-15,TXN_3709394,Juice,4.0,3.0,12.0
382,2023-01-15,TXN_7640700,Juice,2.0,3.0,6.0
383,2023-01-15,TXN_6201227,Salad,2.0,5.0,10.0
384,2023-01-15,TXN_2522828,Smoothie,4.0,4.0,16.0
385,2023-01-15,TXN_2539318,Smoothie,4.0,4.0,16.0
386,2023-01-15,TXN_7418562,Smoothie,4.0,4.0,16.0
387,2023-01-15,TXN_3046108,Tea,5.0,1.5,7.5
399,2023-01-15,TXN_5573731,Smoothie,4.0,4.0,16.0
388,2023-01-15,TXN_8859144,Juice,1.0,3.0,3.0
390,2023-01-15,TXN_2188137,Tea,1.0,1.5,1.5
391,2023-01-15,TXN_9693344,Tea,4.0,1.5,6.0
392,2023-01-15,TXN_5591048,Coffee,3.0,2.0,6.0
393,2023-01-15,TXN_2633322,Salad,4.0,5.0,20.0
394,2023-01-15,TXN_3800253,Juice,2.0,3.0,6.0
395,2023-01-15,TXN_1605677,Tea,5.0,1.5,7.5
396,2023-01-15,TXN_6572164,Cookie,4.0,1.0,4.0
397,2023-01-15,TXN_8553273,Juice,5.0,3.0,15.0
389,2023-01-15,TXN_2798736,Smoothie,2.0,4.0,8.0
9782,2023-01-16,TXN_7445500,Salad,4.0,5.0,20.0
427,2023-01-16,TXN_1785371,Coffee,1.0,2.0,2.0
426,2023-01-16,TXN_6123633,Salad,3.0,5.0,15.0
420,2023-01-16,TXN_1336900,Coffee,5.0,2.0,10.0
424,2023-01-16,TXN_2444134,Smoothie,2.0,4.0,8.0
425,2023-01-16,TXN_8379868,Juice,3.0,3.0,9.0
422,2023-01-16,TXN_8809659,Juice,2.0,3.0,6.0
421,2023-01-16,TXN_2629420,Smoothie,2.0,4.0,8.0
419,2023-01-16,TXN_7266318,Smoothie,1.0,4.0,4.0
418,2023-01-16,TXN_4359885,Cookie,2.0,1.0,2.0
417,2023-01-16,TXN_9943917,Smoothie,3.0,4.0,12.0
416,2023-01-16,TXN_7312448,Tea,1.0,1.5,1.5
415,2023-01-16,TXN_7815651,Salad,1.0,5.0,5.0
414,2023-01-16,TXN_4090464,Smoothie,5.0,4.0,20.0
413,2023-01-16,TXN_9579691,Cookie,5.0,1.0,5.0
412,2023-01-16,TXN_2915287,Salad,1.0,5.0,5.0
409,2023-01-16,TXN_1390917,Smoothie,1.0,4.0,4.0
408,2023-01-16,TXN_4097922,Salad,3.0,5.0,15.0
